fecha_notificacion;prop1d
2020-09-13;0.510677497267206
2020-09-14;0.519004375590272
2020-09-15;0.514849566256179
2020-09-16;0.514678623319281
2020-09-17;0.504450902973228
2020-09-18;0.518862614981735
2020-09-19;0.530404356889517
2020-09-20;0.542002399853215
2020-09-21;0.542198731968544
2020-09-22;0.550710048835764
2020-09-23;0.551143894066849
2020-09-24;0.552923661019106
2020-09-25;0.530764007571726
2020-09-26;0.51027294536738
2020-09-27;0.497360333642367
2020-09-28;0.493012628651279
2020-09-29;0.48986120437845
2020-09-30;0.488612212638365
2020-10-01;0.4891083643815
2020-10-02;0.492964634775626
2020-10-03;0.501053614199123
2020-10-04;0.508395680808212
2020-10-05;0.519784830766441
2020-10-06;0.522023426688547
2020-10-07;0.531307008552774
2020-10-08;0.544953690081717
