"fecha";"region";"prob72.estimado";"prob72.linf";"prob72.lsup"
2020-08-23;"03";0.500990908221971;0.381332946241809;0.577408603393203
2020-08-30;"03";0.542843363601073;0.449721853684489;0.615594398369231
2020-09-06;"03";0.446590642101136;0.312472277034151;0.560837978001738
2020-09-13;"03";0.300567261345446;0.147755616610232;0.521146313024516
2020-03-08;"04";0.121830938386046;0.0397449165487696;0.231671586905085
2020-03-15;"04";0.121830938386046;0.0397449165487696;0.231671586905085
2020-03-22;"04";0.15623484302163;0.0432092184093378;0.309134910894003
2020-03-29;"04";0.240858867697048;0.10614432630789;0.404354685669473
2020-04-05;"04";0.173803289287571;0.0463844059179451;0.358737402643706
2020-04-12;"04";0.265158522655241;0.109089596774551;0.460537172157174
2020-04-19;"04";0.27923222298119;0.126521968069239;0.460893071053195
2020-04-26;"04";0.265813102057061;0.115552428006263;0.448700118279817
2020-05-03;"04";0.195066863791565;0.110870477871548;0.295102894625324
2020-05-10;"04";0.140250896676782;0.0931429715916629;0.194515961059429
2020-05-17;"04";0.110202221154659;0.0706382655447256;0.155924181365752
2020-05-24;"04";0.0806872431343624;0.0493990230250999;0.119173790797731
2020-05-31;"04";0.156973009287083;0.124604292788024;0.191907993093284
2020-06-07;"04";0.188718356023253;0.155030975736874;0.223653312381867
2020-06-14;"04";0.34016047524172;0.300236043640686;0.381084220562638
2020-06-21;"04";0.419346416256617;0.37803108928022;0.461173953177613
2020-06-28;"04";0.414892264383767;0.375591280864776;0.4538591100865
2020-07-05;"04";0.386159068553283;0.347261446392256;0.425822860175387
2020-07-12;"04";0.320911091709615;0.288460680269776;0.354309739715112
2020-07-19;"04";0.311957564779244;0.280709298978979;0.344643260204103
2020-07-26;"04";0.405228753600861;0.373656871334578;0.437834970162104
2020-08-02;"04";0.405592409496364;0.373254125418914;0.438318516696809
2020-08-09;"04";0.33120195177628;0.299828325649065;0.362808800166674
2020-08-16;"04";0.420742123998012;0.38657688915438;0.455707334529152
2020-08-23;"04";0.510700867570793;0.443091319112345;0.555513894966714
2020-08-30;"04";0.443010975644374;0.371776533417461;0.495854200248698
2020-09-06;"04";0.356011285451809;0.26027626247649;0.438731225390756
2020-09-13;"04";0.417475629705609;0.234686618728322;0.646258932296273
2020-03-08;"05";0.0859435589203987;0.0270931567022802;0.169012879388578
2020-03-15;"05";0.0859435589203987;0.0270931567022802;0.169012879388578
2020-03-22;"05";0.0912804179270055;0.038844429529888;0.160705836335449
2020-03-29;"05";0.096562366892974;0.0485778817791;0.155926823814492
2020-04-05;"05";0.272454763280664;0.19642191969362;0.356242928494725
2020-04-12;"05";0.134609255989439;0.0753673891310312;0.205927133295457
2020-04-19;"05";0.293604303933016;0.217591453406913;0.375311200036048
2020-04-26;"05";0.274882374384429;0.211298636466888;0.343306303993655
2020-05-03;"05";0.170981122550396;0.136749126335971;0.209579843951978
2020-05-10;"05";0.199265625362626;0.169497578272023;0.231112503833577
2020-05-17;"05";0.157234290501898;0.135783812284827;0.179848738394323
2020-05-24;"05";0.0816982786691819;0.0671383656124305;0.0977948940827332
2020-05-31;"05";0.164011629120069;0.145632412936783;0.183398702760493
2020-06-07;"05";0.247634080717271;0.228442046247874;0.267150492391684
2020-06-14;"05";0.28217106740467;0.261785060489754;0.302888222430706
2020-06-21;"05";0.279277216732983;0.258892319786741;0.300161949475683
2020-06-28;"05";0.323558143217069;0.300897502851982;0.346623846669878
2020-07-05;"05";0.371552587788165;0.346743712617108;0.396384008642787
2020-07-12;"05";0.413127925366806;0.386379941705929;0.440435946116334
2020-07-19;"05";0.400698304038188;0.373973294058228;0.428016968077112
2020-07-26;"05";0.422377410444482;0.393492012152929;0.451879209747161
2020-08-02;"05";0.408260133147646;0.378831669867346;0.437731878946269
2020-08-09;"05";0.452539034025302;0.424843567080151;0.480715294951883
2020-08-16;"05";0.426119762072293;0.398294432683581;0.454299037923885
2020-08-23;"05";0.351719252820972;0.314322685274062;0.384292645233887
2020-08-30;"05";0.421765574171144;0.350469472633082;0.472397216669953
2020-09-06;"05";0.411245064330237;0.310921674239776;0.500444095877591
2020-09-13;"05";0.361364286221281;0.225188831254382;0.532465007698063
2020-03-08;"06";0.134764773212524;0.0444554916199617;0.258384342752906
