fecha,positividad_bac,positividad_no_bac,codigo_provincia,provincia
2020-07-28,0.006756756756756757,0.1981907894736842,73,Curicó
2020-07-29,0.004081632653061225,0.19174757281553398,73,Curicó
2020-07-30,0.004557885141294439,0.17408906882591094,73,Curicó
2020-07-31,0.004048582995951417,0.16985645933014354,73,Curicó
2020-08-01,0.0036231884057971015,0.1680933852140078,73,Curicó
2020-08-02,0.005016722408026756,0.16269284712482468,73,Curicó
2020-08-03,0.005504587155963303,0.15552099533437014,73,Curicó
2020-08-04,0.007846556233653008,0.14849187935034802,73,Curicó
2020-08-05,0.01452991452991453,0.15397631133671744,73,Curicó
2020-08-06,0.01876675603217158,0.1581196581196581,73,Curicó
2020-08-07,0.019425675675675675,0.15358361774744028,73,Curicó
2020-08-08,0.017788089713843776,0.15254237288135594,73,Curicó
2020-08-09,0.017972681524083392,0.15537383177570094,73,Curicó
2020-08-10,0.01654533421575116,0.15782664941785252,73,Curicó
2020-08-11,0.015518311607697082,0.15661103979460847,73,Curicó
2020-08-12,0.009888751545117428,0.16747572815533981,73,Curicó
2020-08-13,0.006470588235294118,0.16367980884109917,73,Curicó
2020-08-14,0.0070999453850355,0.16728167281672818,73,Curicó
2020-08-15,0.0072423398328690805,0.1664564943253468,73,Curicó
2020-08-16,0.005104934770277935,0.16808769792935443,73,Curicó
2020-08-17,0.007944915254237288,0.1584385763490241,73,Curicó
2020-08-18,0.007389162561576354,0.13917525773195877,73,Curicó
2020-08-19,0.010526315789473684,0.125,73,Curicó
2020-08-20,0.011531365313653136,0.11909871244635194,73,Curicó
2020-08-21,0.011483253588516746,0.11036036036036036,73,Curicó
2020-08-22,0.011457378551787351,0.10497835497835498,73,Curicó
2020-08-23,0.01220703125,0.09544950055493896,73,Curicó
2020-08-24,0.010309278350515464,0.10756972111553785,73,Curicó
2020-08-25,0.010228933268387726,0.11524609843937575,73,Curicó
2020-08-26,0.009424083769633508,0.10362047440699126,73,Curicó
2020-08-27,0.009589770911028236,0.0915032679738562,73,Curicó
2020-08-28,0.009244154431756389,0.09785932721712538,73,Curicó
2020-08-29,0.0101931330472103,0.11057692307692307,73,Curicó
2020-08-30,0.010874938210578349,0.11346863468634687,73,Curicó
2020-08-31,0.01245019920318725,0.1154228855721393,73,Curicó
2020-09-01,0.014631685166498487,0.11625708884688091,73,Curicó
2020-09-02,0.013999066728884742,0.1336322869955157,73,Curicó
2020-09-03,0.016475287069395907,0.15121951219512195,73,Curicó
2020-09-04,0.02016546018614271,0.1505050505050505,73,Curicó
2020-09-05,0.025398406374501994,0.15200868621064062,73,Curicó
2020-09-06,0.027589796980739198,0.1580188679245283,73,Curicó
2020-09-07,0.029900332225913623,0.150253807106599,73,Curicó
2020-09-08,0.03499469777306469,0.15692007797270954,73,Curicó
2020-09-09,0.034446210916799155,0.1501865671641791,73,Curicó
2020-09-10,0.031960996749729145,0.15859030837004406,73,Curicó
2020-09-11,0.027951807228915663,0.16161616161616163,73,Curicó
2020-09-12,0.024827024827024827,0.1694277108433735,73,Curicó
2020-09-13,0.02531645569620253,0.1646471846044191,73,Curicó
2020-09-14,0.03449583017437453,0.15964523281596452,73,Curicó
2020-09-15,0.04,0.15882753919563736,73,Curicó
2020-09-16,0.04310032596885187,0.15112075198843095,73,Curicó
2020-09-17,0.04516129032258064,0.14352941176470588,73,Curicó
2020-09-18,0.04708029197080292,0.13153724247226625,73,Curicó
2020-09-19,0.05089285714285714,0.11294526498696786,73,Curicó
2020-09-20,0.0525103638876094,0.11817367949865712,73,Curicó
2020-09-21,0.04899135446685879,0.1341991341991342,73,Curicó
2020-09-22,0.03393085787451985,0.12728857890148212,73,Curicó
2020-09-23,0.03936507936507937,0.1420500403551251,73,Curicó
2020-09-24,0.038117927337701016,0.14678899082568808,73,Curicó
2020-09-25,0.04071246819338423,0.15594541910331383,73,Curicó
2020-09-26,0.03896816684961581,0.16034031413612565,73,Curicó
2020-09-27,0.039589442815249266,0.15356265356265356,73,Curicó
