fecha,positividad_sintomatico,positividad_asintomatico,codigo_provincia,provincia
2020-08-04,0.21579601990049752,0.031377470975839344,61,Cachapoal
2020-08-05,0.20810647307924984,0.0395778364116095,61,Cachapoal
2020-08-06,0.23406655386350816,0.05033907146583203,61,Cachapoal
2020-08-07,0.22798487304159915,0.04775972427375677,61,Cachapoal
2020-08-08,0.22216216216216217,0.04381560931081698,61,Cachapoal
2020-08-09,0.23122636412749864,0.050722920123251955,61,Cachapoal
2020-08-10,0.23591549295774647,0.053896576839038604,61,Cachapoal
2020-08-11,0.24014155712841254,0.0546448087431694,61,Cachapoal
2020-08-12,0.2383107088989442,0.049184204303617876,61,Cachapoal
2020-08-13,0.20604395604395603,0.0364184643934122,61,Cachapoal
2020-08-14,0.2003257328990228,0.03347280334728033,61,Cachapoal
2020-08-15,0.2028328611898017,0.03315557616508231,61,Cachapoal
2020-08-16,0.19590481460985057,0.02984729291994447,61,Cachapoal
2020-08-17,0.19176470588235295,0.025028702640642938,61,Cachapoal
2020-08-18,0.199642431466031,0.023407607472428538,61,Cachapoal
2020-08-19,0.19865935405240706,0.021797752808988765,61,Cachapoal
2020-08-20,0.19859402460456943,0.019995556542990445,61,Cachapoal
2020-08-21,0.20665829145728642,0.01831174631531934,61,Cachapoal
2020-08-22,0.21027761370348494,0.020726495726495726,61,Cachapoal
2020-08-23,0.21152737752161382,0.01870748299319728,61,Cachapoal
2020-08-24,0.21766029246344207,0.018433179723502304,61,Cachapoal
2020-08-25,0.2099644128113879,0.01867754401030485,61,Cachapoal
2020-08-26,0.20887573964497042,0.01994960100797984,61,Cachapoal
2020-08-27,0.21626506024096387,0.022235948116121063,61,Cachapoal
2020-08-28,0.21861861861861862,0.023265475695886995,61,Cachapoal
2020-08-29,0.21531701192718142,0.020481208987870352,61,Cachapoal
2020-08-30,0.21157436216552583,0.019863791146424517,61,Cachapoal
2020-08-31,0.2053401144310235,0.021337946943483274,61,Cachapoal
2020-09-01,0.21528198908429352,0.020400381315538608,61,Cachapoal
2020-09-02,0.21851851851851853,0.019348837209302326,61,Cachapoal
2020-09-03,0.2147610405323654,0.018456375838926176,61,Cachapoal
2020-09-04,0.21253731343283583,0.020443255636224685,61,Cachapoal
2020-09-05,0.21968787515006002,0.02322763078166027,61,Cachapoal
2020-09-06,0.2264504054897068,0.027356902356902357,61,Cachapoal
2020-09-07,0.22181596587446678,0.026818279339197598,61,Cachapoal
2020-09-08,0.2127659574468085,0.025066776248202177,61,Cachapoal
2020-09-09,0.21664626682986537,0.02533748701973001,61,Cachapoal
2020-09-10,0.21899109792284865,0.03192875760208514,61,Cachapoal
2020-09-11,0.2202914798206278,0.030226209048361933,61,Cachapoal
2020-09-12,0.221395881006865,0.029256399837464444,61,Cachapoal
