fecha,positividad
2020-08-26,0.0685109891801776
2020-08-27,0.06757704769480581
2020-08-28,0.06694226051796281
2020-08-29,0.06710485904100547
2020-08-30,0.066138341868294
2020-08-31,0.06515704629801478
2020-09-01,0.06513934734822475
2020-09-02,0.06479699017133937
2020-09-03,0.06488780738746214
2020-09-04,0.06497764904581056
2020-09-05,0.06474301221251834
2020-09-06,0.0650401323776059
2020-09-07,0.06440127387206045
2020-09-08,0.06388500054292849
2020-09-09,0.06262403350575105
2020-09-10,0.062462540139256076
2020-09-11,0.06256688945611093
2020-09-12,0.061706388720180534
2020-09-13,0.06160731533656398
2020-09-14,0.061338970733402554
2020-09-15,0.060817283700294315
2020-09-16,0.06116449637446751
2020-09-17,0.06231311865759489
2020-09-18,0.06568680298925053
2020-09-19,0.06948427689227218
