"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
26,"40 - 49 años",173.876846462887,"(150, 250]"
26,"50 - 59 años",177.686747252311,"(150, 250]"
26,"60 - 69 años",144.512034909052,"(70, 150]"
26,"70 - 79 años",125.354251113647,"(70, 150]"
26,"80 años o más",146.11381150404,"(70, 150]"
27,"00 - 09 años",24.1429749402391,"(7, 35]"
27,"10 - 19 años",38.5692014234966,"(35, 70]"
27,"20 - 29 años",123.272822287933,"(70, 150]"
27,"30 - 39 años",142.901864486677,"(70, 150]"
27,"40 - 49 años",135.4963872722,"(70, 150]"
27,"50 - 59 años",137.009942609417,"(70, 150]"
27,"60 - 69 años",115.077477741156,"(70, 150]"
27,"70 - 79 años",109.008056768428,"(70, 150]"
27,"80 años o más",126.1808885329,"(70, 150]"
28,"00 - 09 años",24.7091418567606,"(7, 35]"
28,"10 - 19 años",38.3316088069247,"(35, 70]"
28,"20 - 29 años",112.924631539733,"(70, 150]"
28,"30 - 39 años",130.432588222604,"(70, 150]"
28,"40 - 49 años",119.189465805111,"(70, 150]"
28,"50 - 59 años",122.367980772193,"(70, 150]"
28,"60 - 69 años",105.26595868519,"(70, 150]"
28,"70 - 79 años",97.575749066863,"(70, 150]"
28,"80 años o más",127.095242797631,"(70, 150]"
29,"00 - 09 años",21.1099378874452,"(7, 35]"
29,"10 - 19 años",32.5105897009145,"(7, 35]"
29,"20 - 29 años",99.7953645279543,"(70, 150]"
29,"30 - 39 años",103.679723010532,"(70, 150]"
29,"40 - 49 años",95.1300734766204,"(70, 150]"
29,"50 - 59 años",97.3880343524898,"(70, 150]"
29,"60 - 69 años",79.2682048024337,"(70, 150]"
29,"70 - 79 años",78.6221862984795,"(70, 150]"
29,"80 años o más",92.7155224437398,"(70, 150]"
30,"00 - 09 años",22.848879131047,"(7, 35]"
30,"10 - 19 años",36.5892629520645,"(35, 70]"
30,"20 - 29 años",94.9446501147356,"(70, 150]"
30,"30 - 39 años",102.921010433617,"(70, 150]"
30,"40 - 49 años",92.6477552205062,"(70, 150]"
30,"50 - 59 años",96.4597255328387,"(70, 150]"
30,"60 - 69 años",77.3280739156608,"(70, 150]"
30,"70 - 79 años",74.5105668619519,"(70, 150]"
30,"80 años o más",95.4585852379333,"(70, 150]"
31,"00 - 09 años",23.5363675296803,"(7, 35]"
31,"10 - 19 años",31.3622253874839,"(7, 35]"
31,"20 - 29 años",84.4024307900067,"(70, 150]"
31,"30 - 39 años",92.2660468534705,"(70, 150]"
31,"40 - 49 años",84.9334738707361,"(70, 150]"
31,"50 - 59 años",91.2696353138802,"(70, 150]"
31,"60 - 69 años",75.4988076509893,"(70, 150]"
31,"70 - 79 años",69.6969636191878,"(35, 70]"
31,"80 años o más",81.9261421199121,"(70, 150]"
32,"00 - 09 años",26.5694045824741,"(7, 35]"
32,"10 - 19 años",35.7180900246344,"(35, 70]"
32,"20 - 29 años",86.8601260927043,"(70, 150]"
32,"30 - 39 años",89.9239341160388,"(70, 150]"
32,"40 - 49 años",85.9645906848143,"(70, 150]"
32,"50 - 59 años",87.8517710233465,"(70, 150]"
32,"60 - 69 años",67.1285286823407,"(35, 70]"
32,"70 - 79 años",70.3989474254242,"(70, 150]"
32,"80 años o más",76.6228873844713,"(70, 150]"
33,"00 - 09 años",21.5952238158922,"(7, 35]"
33,"10 - 19 años",32.9065773952009,"(7, 35]"
33,"20 - 29 años",76.2532305757992,"(70, 150]"
33,"30 - 39 años",79.2689705358919,"(70, 150]"
33,"40 - 49 años",72.9801567297557,"(70, 150]"
33,"50 - 59 años",75.4883853798112,"(70, 150]"
33,"60 - 69 años",63.5808607750989,"(35, 70]"
33,"70 - 79 años",61.9751417505872,"(35, 70]"
33,"80 años o más",71.5025035019768,"(70, 150]"
34,"00 - 09 años",21.7974262860785,"(7, 35]"
34,"10 - 19 años",33.2629663200586,"(7, 35]"
34,"20 - 29 años",79.034306839378,"(70, 150]"
34,"30 - 39 años",84.0521585207876,"(70, 150]"
34,"40 - 49 años",72.1017979622077,"(70, 150]"
34,"50 - 59 años",77.1762195973587,"(70, 150]"
34,"60 - 69 años",67.0176640602394,"(35, 70]"
34,"70 - 79 años",62.3762753541508,"(35, 70]"
34,"80 años o más",72.5997286196542,"(70, 150]"
