fecha,positividad_bac,positividad_no_bac,codigo_region,region
2020-08-15,0.020480357475330477,0.13640552995391705,8,Biobío
2020-08-16,0.01795755487030655,0.13719692489651095,8,Biobío
2020-08-17,0.01798812434509256,0.1414519906323185,8,Biobío
2020-08-18,0.020202020202020204,0.13952434881087203,8,Biobío
2020-08-19,0.020879685093274,0.13607050730868445,8,Biobío
2020-08-20,0.022862286228622863,0.1361847555923778,8,Biobío
2020-08-21,0.027075452916583715,0.13632278038549886,8,Biobío
2020-08-22,0.029657477025898077,0.14041801589637914,8,Biobío
2020-08-23,0.031681905166914735,0.13973209983617615,8,Biobío
2020-08-24,0.03224400871459695,0.1389074906725342,8,Biobío
2020-08-25,0.031928480204342274,0.14093091983745845,8,Biobío
2020-08-26,0.02897018397124128,0.14158968261227475,8,Biobío
2020-08-27,0.031007751937984496,0.14886444286728176,8,Biobío
2020-08-28,0.028466305189775366,0.14745838956365273,8,Biobío
2020-08-29,0.024986321356921394,0.14273326396115157,8,Biobío
2020-08-30,0.023992673992673994,0.14254989676531316,8,Biobío
2020-08-31,0.0234593837535014,0.14105921108201705,8,Biobío
2020-09-01,0.02144284935489733,0.14167254763585038,8,Biobío
2020-09-02,0.023174769123540686,0.14322048763374848,8,Biobío
2020-09-03,0.019540791402051783,0.1357683741648107,8,Biobío
2020-09-04,0.024622716441620333,0.13807791285828377,8,Biobío
2020-09-05,0.02672147995889003,0.13877889308407773,8,Biobío
2020-09-06,0.02590588621085424,0.1379436852242502,8,Biobío
2020-09-07,0.02346465816917729,0.13803764663089935,8,Biobío
2020-09-08,0.021956856702619414,0.13063533507397737,8,Biobío
2020-09-09,0.021930962886062808,0.12690538468476595,8,Biobío
2020-09-10,0.02213019283033519,0.12434636178321369,8,Biobío
2020-09-11,0.02027376033057851,0.1224051539012169,8,Biobío
2020-09-12,0.018951284734333218,0.11897738446411013,8,Biobío
2020-09-13,0.020332287672824446,0.12098298676748583,8,Biobío
2020-09-14,0.0206794682422452,0.12146345958897797,8,Biobío
2020-09-15,0.02176556420233463,0.12299664554603057,8,Biobío
2020-09-16,0.023133543638275498,0.12028237849579147,8,Biobío
2020-09-17,0.0227662738817069,0.12171207693032902,8,Biobío
2020-09-18,0.021852731591448932,0.11921182266009853,8,Biobío
2020-09-19,0.020956123117223315,0.1233140655105973,8,Biobío
2020-09-20,0.022667948894078856,0.12115322319403952,8,Biobío
2020-09-21,0.025970149253731343,0.12185189154431465,8,Biobío
2020-09-22,0.030162040750842292,0.12170450877004196,8,Biobío
2020-09-23,0.028284389489953633,0.12408604429373742,8,Biobío
2020-09-24,0.0326883611844034,0.12160228898426323,8,Biobío
2020-09-25,0.032584990378447726,0.11843510338802057,8,Biobío
2020-09-26,0.03122497998398719,0.11310576582950124,8,Biobío
2020-09-27,0.02666666666666667,0.11146134313983014,8,Biobío
2020-09-28,0.024793388429752067,0.10683102208525937,8,Biobío
2020-09-29,0.023534927332395688,0.10158973051092408,8,Biobío
2020-09-30,0.022440265285727266,0.09680230025267927,8,Biobío
2020-10-01,0.020759890325107718,0.09608958728438544,8,Biobío
2020-10-02,0.02031578947368421,0.09560723514211886,8,Biobío
2020-10-03,0.021398987574781408,0.09537256330843505,8,Biobío
2020-10-04,0.02396944554194653,0.09662590787901075,8,Biobío
2020-10-05,0.025491825990579108,0.09622123307131357,8,Biobío
2020-10-06,0.02409316021951546,0.09452544173023077,8,Biobío
2020-10-07,0.02439358640537207,0.09719201107375915,8,Biobío
2020-10-08,0.023270763692465928,0.09744668643014248,8,Biobío
2020-10-09,0.025142718328677274,0.10084451068057626,8,Biobío
2020-10-10,0.025420931000330143,0.10405732741219217,8,Biobío
2020-10-11,0.025189177982792577,0.10702208076387508,8,Biobío
2020-10-12,0.02631844307754361,0.10885499207606973,8,Biobío
2020-10-13,0.026555643074153257,0.11580578512396694,8,Biobío
2020-10-14,0.030166591625393965,0.12116963749248949,8,Biobío
2020-10-15,0.0337129840546697,0.12548525862973456,8,Biobío
2020-10-16,0.032840205644738225,0.12163379717689458,8,Biobío
2020-10-17,0.030593514174994903,0.12131816856226305,8,Biobío
2020-10-18,0.029387838112670327,0.11720966637315332,8,Biobío
2020-10-19,0.02763844815231856,0.1183558449130308,8,Biobío
2020-10-20,0.024806905951840073,0.11630526612221909,8,Biobío
2020-10-21,0.023411371237458192,0.11108045977011494,8,Biobío
2020-10-22,0.019748165594709665,0.11056489095459421,8,Biobío
2020-10-23,0.015011756194610237,0.11222995239838887,8,Biobío
2020-10-24,0.015025631960403041,0.11096961979261415,8,Biobío
2020-10-25,0.015130799380184122,0.11094373061586177,8,Biobío
2020-10-26,0.014528508771929825,0.10863632362003697,8,Biobío
2020-10-27,0.015620767494356659,0.10768157642340222,8,Biobío
2020-10-28,0.013938996392259758,0.10521670050313355,8,Biobío
2020-10-29,0.013557962294424387,0.10448154657293497,8,Biobío
2020-10-30,0.015043156596794081,0.10307746109459696,8,Biobío
2020-10-31,0.015320910973084885,0.1035366931918656,8,Biobío
2020-11-01,0.014752040175768989,0.10457278192749135,8,Biobío
2020-11-02,0.01512788521522146,0.10610398005355988,8,Biobío
2020-11-03,0.015450439743285001,0.1082999635966509,8,Biobío
2020-11-04,0.014931331842861705,0.11448834853090173,8,Biobío
2020-11-05,0.01481314384540191,0.11507249019786632,8,Biobío
2020-11-06,0.013552479815455595,0.11807619562280465,8,Biobío
2020-11-07,0.012537612838515547,0.11896551724137931,8,Biobío
2020-11-08,0.012606837606837607,0.11716989634970708,8,Biobío
2020-11-09,0.01209231619679381,0.11849557522123894,8,Biobío
2020-11-10,0.012100677637947725,0.12394341900983268,8,Biobío
2020-11-11,0.01290414066931367,0.12166694616803622,8,Biobío
