"fecha";"region";"provincia";"prob48.estimado";"prob48.linf";"prob48.lsup"
2020-05-03;"05";"055";0.0814585536752907;0.0200746332622867;0.174053191703117
2020-05-10;"05";"055";0.134769464744252;0.0689062994850379;0.219367699598204
2020-05-17;"05";"055";0.0685361202508914;0.0256172976106109;0.129623894913638
2020-05-24;"05";"055";0.0317013980475578;0.00808027497038644;0.0696234145772946
2020-05-31;"05";"055";0.0579683445154103;0.0251395724567271;0.102439290386961
2020-06-07;"05";"055";0.0831601200137245;0.0509957330492488;0.122075314099596
2020-06-14;"05";"055";0.126452511110645;0.0872013831445515;0.171108246727312
2020-06-21;"05";"055";0.109379807360555;0.0756245398785073;0.148179051510852
2020-06-28;"05";"055";0.13336776915725;0.0972493451530189;0.173809198990514
2020-07-05;"05";"055";0.108917319597532;0.0764982044062009;0.145809919703942
2020-07-12;"05";"055";0.0931724211844035;0.0610276725911302;0.131318358090616
2020-07-19;"05";"055";0.0924272169105147;0.0611276479195152;0.128581234186046
2020-07-26;"05";"055";0.151499997573596;0.108324315630176;0.19942375792343
2020-08-02;"05";"055";0.126713849977869;0.0757431096372607;0.184246708548341
2020-08-09;"05";"055";0.25567408491412;0.156602987017663;0.362468435325338
2020-03-08;"05";"056";0.0914746672585232;0.0428678680321103;0.154934845776165
2020-03-15;"05";"056";0.0914746672585232;0.0428678680321103;0.154934845776165
2020-03-22;"05";"056";0.0878983327731474;0.0221998159410955;0.191742795718331
2020-03-29;"05";"056";0.0668490713075061;0.0166201468435306;0.147076908999624
2020-04-05;"05";"056";0.149485310738149;0.0706915739539398;0.250079653548015
2020-04-12;"05";"056";0.114520741543129;0.0462404678268882;0.209012595578425
2020-04-19;"05";"056";0.202689008582839;0.120104727719357;0.302112975148584
2020-04-26;"05";"056";0.147757917155571;0.081974126288035;0.228538337706261
2020-05-03;"05";"056";0.0694157698295197;0.0314750730700854;0.119442305421566
2020-05-10;"05";"056";0.0803412999165559;0.0404819269857711;0.132318936508548
2020-05-17;"05";"056";0.059126065730251;0.0303538031547319;0.0969099486692308
2020-05-24;"05";"056";0.0515651920798834;0.0248214060107978;0.0875022883256213
2020-05-31;"05";"056";0.0961365068093207;0.059849359737041;0.138500804785489
2020-06-07;"05";"056";0.128000715357167;0.0897332027096682;0.171761880850286
2020-06-14;"05";"056";0.0788878506274061;0.0472010163597729;0.117410709461677
2020-06-21;"05";"056";0.112557949327481;0.0698713916399781;0.16444932738584
2020-06-28;"05";"056";0.219946447880862;0.162424605783199;0.283537015513396
2020-07-05;"05";"056";0.25476140835676;0.191056388917158;0.323362173280016
2020-07-12;"05";"056";0.284017666433533;0.206799110853414;0.367441042037946
2020-07-19;"05";"056";0.333309321068031;0.251506843456474;0.41996570399646
2020-07-26;"05";"056";0.313642117749676;0.217679098156012;0.417331999698568
2020-08-02;"05";"056";0.556643845147187;0.409058967941546;0.677784554128328
2020-08-09;"05";"056";0.341921352819789;0.15702621925096;0.587788374084133
2020-03-08;"05";"057";0.0956696011143727;0.0450247568903681;0.162065469529989
2020-03-15;"05";"057";0.0956696011143727;0.0450247568903681;0.162065469529989
2020-03-22;"05";"057";0.0849274912581224;0.0212071292406166;0.18743296272751
2020-03-29;"05";"057";0.0865389990151124;0.0211164300806904;0.188640747206728
2020-04-05;"05";"057";0.0905214748654318;0.0223792782441776;0.197742318625419
2020-04-12;"05";"057";0.0944930073303344;0.0230669474834066;0.209243306547093
2020-04-19;"05";"057";0.124638065460567;0.039709106479235;0.244107270596351
2020-04-26;"05";"057";0.101967459091321;0.0322361473989714;0.205351352618397
2020-05-03;"05";"057";0.229229890600108;0.133833636457382;0.342019773994695
2020-05-10;"05";"057";0.179229855516197;0.101750401995703;0.273718332364408
2020-05-17;"05";"057";0.111194541640516;0.0668344580290068;0.164453231141605
2020-05-24;"05";"057";0.0582270573192196;0.0269945618382071;0.0998219617709369
2020-05-31;"05";"057";0.0478196620872656;0.0218136738045266;0.0828395584322937
2020-06-07;"05";"057";0.0977795808902846;0.0641433386918085;0.13776521078107
2020-06-14;"05";"057";0.209735223106039;0.160801752810647;0.263693375673868
2020-06-21;"05";"057";0.156404070649869;0.107792210592723;0.212852359398689
2020-06-28;"05";"057";0.236136899342617;0.177556334417876;0.299739235509548
2020-07-05;"05";"057";0.246705631044463;0.179166906257887;0.320757399903034
2020-07-12;"05";"057";0.26095042552839;0.194061732987349;0.334231595328014
2020-07-19;"05";"057";0.238158492226216;0.162471631413818;0.323086181305205
2020-07-26;"05";"057";0.381984495061386;0.268928259185322;0.498113639218004
2020-08-02;"05";"057";0.35414137394201;0.253813814016792;0.453025574247775
2020-08-09;"05";"057";0.337075758467778;0.207354929113312;0.473267658005075
2020-03-08;"05";"058";0.0926899371277165;0.0437586879777291;0.157757766717627
2020-03-15;"05";"058";0.0926899371277165;0.0437586879777291;0.157757766717627
2020-03-22;"05";"058";0.0928524288249286;0.0292317046085099;0.186606839910326
2020-03-29;"05";"058";0.106993398642856;0.0390149067200698;0.20539660967267
2020-04-05;"05";"058";0.123373618083748;0.0496074386378806;0.224231552405708
2020-04-12;"05";"058";0.0696887901528334;0.0171826488673219;0.152791660537517
2020-04-19;"05";"058";0.0736028794867462;0.0188908585673278;0.161499588319251
2020-04-26;"05";"058";0.0784557910552197;0.0236376806005565;0.161430770532072
2020-05-03;"05";"058";0.110385347936015;0.056208624859709;0.179438070505173
2020-05-10;"05";"058";0.0617586638801811;0.0295464480984699;0.105107750186059
2020-05-17;"05";"058";0.0485296277622802;0.0230010207048916;0.0823065080581982
2020-05-24;"05";"058";0.0364190984821957;0.0154194578023659;0.0649130997125369
2020-05-31;"05";"058";0.0955408573084692;0.0627638450501263;0.13438626268231
2020-06-07;"05";"058";0.0866547237855204;0.0555944256126076;0.123202033978468
2020-06-14;"05";"058";0.138771476071153;0.10154629213677;0.180749751010606
2020-06-21;"05";"058";0.143011629962144;0.109187744441268;0.18016760652961
2020-06-28;"05";"058";0.153416602878918;0.114606023536974;0.196756224116529
2020-07-05;"05";"058";0.189625381510824;0.148870005055595;0.233633948581118
2020-07-12;"05";"058";0.198743732948412;0.148689150536326;0.25399349024077
2020-07-19;"05";"058";0.169710105937702;0.121517420899576;0.223999491961586
2020-07-26;"05";"058";0.220897452707908;0.158971045850026;0.288786710897396
2020-08-02;"05";"058";0.208425631659655;0.137955185666457;0.278782119705335
2020-08-09;"05";"058";0.242790349001021;0.142586724655475;0.353670734247153
2020-03-08;"13";"131";0.0419372524375267;0.024704123560389;0.0627156763938192
2020-03-15;"13";"131";0.0419372524375267;0.024704123560389;0.0627156763938192
2020-03-22;"13";"131";0.0419413591349194;0.0281552184212029;0.0570960966778934
2020-03-29;"13";"131";0.111228194089363;0.0907262707637007;0.133265021893836
2020-04-05;"13";"131";0.179237704363406;0.156764267509845;0.203127162240003
2020-04-12;"13";"131";0.269085232469551;0.245577941625312;0.293229315392915
2020-04-19;"13";"131";0.270942366985918;0.251597344177423;0.290651100848842
2020-04-26;"13";"131";0.211791779244307;0.198871749642937;0.224965074381392
2020-05-03;"13";"131";0.193500327631272;0.185663063569135;0.201479815569647
2020-05-10;"13";"131";0.120387542208852;0.115482474915874;0.125317708571888
2020-05-17;"13";"131";0.0657136989677147;0.0623774704133038;0.0690832940474497
2020-05-24;"13";"131";0.0830140676869094;0.0795302812970702;0.086565357044665
2020-05-31;"13";"131";0.0897648604550757;0.0856778113106453;0.0938580215758279
2020-06-07;"13";"131";0.113435704953673;0.109056476636063;0.117901201211508
2020-06-14;"13";"131";0.153803063246874;0.148137280144063;0.159610690148145
2020-06-21;"13";"131";0.179375707856985;0.172686451571355;0.186150122881899
2020-06-28;"13";"131";0.239040543931999;0.230144701286326;0.248002568115434
2020-07-05;"13";"131";0.223137714603149;0.213320878981971;0.233164150603461
2020-07-12;"13";"131";0.284387913865355;0.272433758438335;0.296368279785911
2020-07-19;"13";"131";0.287734323884127;0.262004450189777;0.305499374563879
2020-07-26;"13";"131";0.277719557005718;0.240874090830258;0.306020672345716
2020-08-02;"13";"131";0.324898454593569;0.27745699577597;0.348803651547191
2020-08-09;"13";"131";0.328479089750129;0.217104791972652;0.431912372088328
2020-03-08;"13";"132";0.0802550671453942;0.0380762040413357;0.135975689385571
2020-03-15;"13";"132";0.0802550671453942;0.0380762040413357;0.135975689385571
2020-03-22;"13";"132";0.0399036534453638;0.0102266363027796;0.0858383868012856
