"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2020-08-23";8;81014;1.1330852219702;0.881765093707016;1.38440535023339
"2020-08-24";8;81014;1.07874199230211;0.841138458957718;1.3163455256465
"2020-08-25";8;81014;1.07455217173088;0.853228657562895;1.29587568589887
"2020-08-26";8;81014;1.09606143337431;0.870843060049389;1.32127980669923
"2020-08-27";8;81014;1.11882736238027;0.895411462287911;1.34224326247262
"2020-08-28";8;81014;1.1051476612189;0.891306502237175;1.31898882020062
"2020-08-29";8;81014;1.10349167745477;0.896053701008855;1.31092965390069
"2020-08-30";8;81014;1.06809847763459;0.869276267362888;1.26692068790628
"2020-08-31";8;81014;1.02953302178336;0.830565626139509;1.22850041742722
"2020-09-01";8;81014;1.02521676372942;0.819988195927929;1.23044533153092
"2020-09-02";8;81014;0.967312913955959;0.761932381950336;1.17269344596158
"2020-09-03";8;81014;0.976061650131107;0.755766585238878;1.19635671502333
"2020-09-04";8;81014;1.01186574803981;0.789757527055098;1.23397396902451
"2020-09-05";8;81014;0.990631752896023;0.778085427354373;1.20317807843767
"2020-09-06";8;81014;0.998364693270498;0.802229941822332;1.19449944471866
"2020-09-07";8;81014;0.970235045076094;0.782015838060452;1.15845425209174
"2020-09-08";8;81014;0.911386920627829;0.727408852079036;1.09536498917662
"2020-09-09";8;81014;0.907376692981012;0.710607280755515;1.10414610520651
"2020-09-10";8;81014;0.85553374188521;0.657081613654108;1.05398587011631
"2020-09-11";8;81014;0.839444536794676;0.630740382997284;1.04814869059207
"2020-09-12";8;81014;0.87595682104844;0.656167056274512;1.09574658582237
"2020-09-13";8;81014;0.887470085574964;0.67708769718013;1.0978524739698
"2020-09-14";8;81014;0.905005824079087;0.692632399459466;1.11737924869871
"2020-09-15";8;81014;0.92603438386132;0.711579859199819;1.14048890852282
"2020-09-16";8;81014;0.902559566774315;0.692896788719296;1.11222234482933
"2020-09-17";8;81014;0.879328863587784;0.666424555508551;1.09223317166702
"2020-09-18";8;81014;0.845209746851824;0.639853186231448;1.0505663074722
"2020-09-19";8;81014;0.818293802364537;0.61306542242002;1.02352218230905
"2020-09-20";8;81014;0.861258723684946;0.638577638567593;1.0839398088023
"2020-09-21";8;81014;0.915589998890519;0.671112907398304;1.16006709038273
"2020-09-22";8;81014;0.936462405155922;0.682071321581072;1.19085348873077
"2020-09-23";8;81014;0.999182274267378;0.738766539979213;1.25959800855554
"2020-09-24";8;81014;1.02223462114997;0.772822971724244;1.2716462705757
"2020-09-25";8;81014;1.0484929509802;0.801125079194214;1.29586082276618
"2020-09-26";8;81014;1.05359739687017;0.819391219490466;1.28780357424987
"2020-09-27";8;81014;1.093987846195;0.850612686742232;1.33736300564776
"2020-09-28";8;81014;1.08627265895492;0.83713991327097;1.33540540463888
"2020-09-29";8;81014;1.10710817503604;0.856387858783964;1.35782849128811
"2020-09-30";8;81014;1.08647280441637;0.833673355797703;1.33927225303503
"2020-10-01";8;81014;1.15303701652303;0.887155130110347;1.41891890293571
"2020-10-02";8;81014;1.19175338943671;0.929186046169305;1.45432073270411
"2020-10-03";8;81014;1.22605841609768;0.965100733810719;1.48701609838464
"2020-10-04";8;81014;1.19477371997818;0.935393087887413;1.45415435206895
"2020-10-05";8;81014;1.26070934600286;0.98917071330781;1.53224797869791
"2020-10-06";8;81014;1.31195917112388;1.03718735172496;1.58673099052279
"2020-10-07";8;81014;1.34693911669769;1.06159993943617;1.63227829395921
"2020-10-08";8;81014;1.35373170219431;1.05373502982738;1.65372837456124
"2020-10-09";8;81014;1.39789450770663;1.09877318360699;1.69701583180627
"2020-10-10";8;81014;1.39760565997717;1.0935988317852;1.70161248816914
"2020-10-11";8;81014;1.38062934611054;1.08530384002166;1.67595485219943
"2020-10-12";8;81014;1.28975704540437;1.01437242126262;1.56514166954612
"2020-10-13";8;81014;1.31396277890882;1.05983970956399;1.56808584825365
"2020-10-14";8;81014;1.25193008572558;1.00978444338368;1.49407572806749
"2020-10-15";8;81014;1.20603542820686;0.983573696952917;1.42849715946081
"2020-10-16";8;81014;1.12812279988838;0.929522749156934;1.32672285061982
"2020-10-17";8;81014;1.09210454248925;0.904159943824407;1.2800491411541
"2020-10-18";8;81014;1.02985349183205;0.856330044545913;1.20337693911818
