fecha,positividad_sintomatico,positividad_asintomatico,codigo_ss,ss
2020-06-28,0.26356589147286824,0.14106583072100312,151011,Arica
2020-06-29,0.2878306878306878,0.14666666666666667,151011,Arica
2020-06-30,0.32662192393736017,0.13448275862068965,151011,Arica
2020-07-01,0.3362734288864388,0.138801261829653,151011,Arica
2020-07-02,0.31952017448200654,0.14127423822714683,151011,Arica
2020-07-03,0.3251282051282051,0.12169312169312169,151011,Arica
2020-07-04,0.3397129186602871,0.15364583333333334,151011,Arica
2020-07-05,0.33643122676579923,0.1497326203208556,151011,Arica
2020-07-06,0.32971014492753625,0.14681440443213298,151011,Arica
2020-07-07,0.32608695652173914,0.16666666666666666,151011,Arica
2020-07-08,0.3254437869822485,0.1622340425531915,151011,Arica
2020-07-09,0.3186195826645265,0.17204301075268819,151011,Arica
