fecha,positividad_bac,positividad_no_bac,codigo_ss,ss
2020-09-27,0.022307014969181096,0.22250639386189258,151011,Arica
2020-09-28,0.023148148148148147,0.23062381852551986,151011,Arica
2020-09-29,0.02573742047426258,0.23547979797979798,151011,Arica
2020-09-30,0.023580786026200874,0.22958579881656804,151011,Arica
2020-10-01,0.0244270205066345,0.22569832402234638,151011,Arica
2020-10-02,0.017956656346749224,0.2175531914893617,151011,Arica
2020-10-03,0.016992353440951572,0.20693391115926327,151011,Arica
2020-10-04,0.019059329849369814,0.19272168118913377,151011,Arica
2020-10-05,0.017952755905511812,0.18263473053892215,151011,Arica
2020-10-06,0.015485996705107084,0.17804992934526614,151011,Arica
2020-10-07,0.01592356687898089,0.17183653372722796,151011,Arica
2020-10-08,0.016829865361077112,0.15815567674764502,151011,Arica
2020-10-09,0.01681912068456772,0.15384615384615385,151011,Arica
