fecha,positividad_bac,positividad_no_bac
2020-10-20,0.02293891285878492,0.09986047922353655
2020-10-21,0.022601170374983034,0.0978376967078873
2020-10-22,0.02157597016812034,0.09694059476549315
2020-10-23,0.02097219837342533,0.09495481748170048
2020-10-24,0.020164404511565665,0.09304547867634047
2020-10-25,0.020545220172828112,0.09191972035288802
2020-10-26,0.01982423551816181,0.09015402843601895
2020-10-27,0.02007615627515324,0.08826497090294726
2020-10-28,0.01956292131341058,0.08623486540496061
2020-10-29,0.01967540612949685,0.08612871855557769
2020-10-30,0.019974983602056226,0.08527863200074551
2020-10-31,0.02047143044893352,0.08438463362580033
2020-11-01,0.020210922787193972,0.0850930576070901
2020-11-02,0.020464881253158162,0.08523745924027482
2020-11-03,0.020307593573082126,0.0855805018609677
2020-11-04,0.020315722374292248,0.0873842108408534
2020-11-05,0.020069983809715662,0.0862723560734497
2020-11-06,0.01939450924205452,0.08640456217981331
2020-11-07,0.01901542207196967,0.08611622093297486
2020-11-08,0.01942111687967879,0.08549677238282347
2020-11-09,0.018958954765739545,0.0846853066390519
2020-11-10,0.018855938321157343,0.08458872301384138
2020-11-11,0.018801461525558463,0.08324320632065484
2020-11-12,0.018834139233440385,0.0837382369340358
2020-11-13,0.01921008145074535,0.08460821217667576
2020-11-14,0.019325885892990485,0.08373137884477927
2020-11-15,0.01909111160614836,0.08399725274725275
2020-11-16,0.01936640854793205,0.08510417984974171
2020-11-17,0.019084537432478683,0.08414605692953803
2020-11-18,0.01903004355207795,0.08415963287716136
2020-11-19,0.019211082799692143,0.08287576213292297
2020-11-20,0.019261207838241524,0.08183140899277198
2020-11-21,0.019531650201244054,0.08327076406020952
2020-11-22,0.01979420485570854,0.08260020129062814
2020-11-23,0.01995327583420268,0.08298519474064169
2020-11-24,0.02028173546707235,0.0836472176817568
2020-11-25,0.020707544404713056,0.08322229096273735
2020-11-26,0.021267011065820927,0.08444019367565306
2020-11-27,0.02088363284130174,0.08393163404104323
2020-11-28,0.020405936272370143,0.08337955696127837
2020-11-29,0.020177890724269378,0.08470629740695008
2020-11-30,0.020169385420189534,0.08410854073788043
2020-12-01,0.020057285917332236,0.08363657569395848
2020-12-02,0.020030353358914153,0.08467858422214261
2020-12-03,0.019552151023511353,0.0830531116126952
2020-12-04,0.020333553595541128,0.08427366534139223
2020-12-05,0.021157577216659822,0.08792904860631191
2020-12-06,0.02110971643353976,0.08945260347129506
2020-12-07,0.021238570241064007,0.09172885927517514
2020-12-08,0.021947606695549977,0.09474177304133974
2020-12-09,0.022117654044264995,0.09813322948864604
2020-12-10,0.022006467691212245,0.10159205069264543
2020-12-11,0.022687992500805578,0.10320420395371838
2020-12-12,0.022271002941051107,0.10121032409917965
2020-12-13,0.022416351909293607,0.1014892443463872
2020-12-14,0.022440539185651424,0.1013583053416121
2020-12-15,0.02223811469826999,0.10137291766866337
2020-12-16,0.022926140818566722,0.10086062782490249
2020-12-17,0.023055458880564664,0.10241552781115705
2020-12-18,0.022551546391752577,0.10287822577357414
2020-12-19,0.022617792263816324,0.10478849932774847
2020-12-20,0.023578172870767963,0.10570161315453251
2020-12-21,0.023765321839147775,0.1058931484502447
2020-12-22,0.024397703338238264,0.10797925556894053
2020-12-23,0.024976613120756646,0.1091872535524668
2020-12-24,0.02631325737637184,0.11190441036890174
2020-12-25,0.02780628965039635,0.11605671325040073
2020-12-26,0.030448873315513207,0.12151165517564842
2020-12-27,0.031057121229765925,0.12643151087595533
2020-12-28,0.03140297612354286,0.13253804920072748
2020-12-29,0.03312707515846665,0.13838192209788194
2020-12-30,0.03529084079223722,0.1450520188988253
2020-12-31,0.0381190572056865,0.14933386127544604
2021-01-01,0.039437767679330736,0.15209822457920222
2021-01-02,0.04017653325216862,0.1549509815123746
2021-01-03,0.040073922033461835,0.1574547611320628
2021-01-04,0.03945285755302467,0.15812846772955547
2021-01-05,0.03967696629213483,0.16122641307374327
2021-01-06,0.04069838662026128,0.16491914366028582
2021-01-07,0.04129143181991501,0.16658606106131857
2021-01-08,0.04145653740093906,0.16577025042436727
2021-01-09,0.04091654829936467,0.16406496871642545
2021-01-10,0.04165510579482278,0.16171754575574493
2021-01-11,0.04335994915186907,0.16328603069273126
2021-01-12,0.04363613292402598,0.16351505513879766
2021-01-13,0.043503065230424104,0.1629389170264115
2021-01-14,0.042709978548360485,0.16122735262303947
2021-01-15,0.04201432882581953,0.16100955162746974
2021-01-16,0.04217892857473242,0.16092950444384593
2021-01-17,0.04225496405021793,0.163542951783813
2021-01-18,0.04244388864825087,0.16589736396943192
2021-01-19,0.04279555358765818,0.1667826470688075
2021-01-20,0.04333014443381478,0.16937031370195355
2021-01-21,0.0452702088031524,0.17304266251258704
2021-01-22,0.04597594819611471,0.17525314634082526
2021-01-23,0.04648944163239481,0.17832360686072166
