"fecha";"r.estimado";"r.liminf";"r.lisup"
"2020-06-03";0.998481519408989;0.98152505704593;1.01543798177205
"2020-06-04";0.983224660909577;0.966373751844902;1.00007556997425
"2020-06-05";0.983461177222795;0.96424593860268;1.00267641584291
"2020-06-06";0.976948796744427;0.957654480218107;0.996243113270747
"2020-06-07";0.96873048449032;0.948673844095997;0.988787124884642
"2020-06-08";0.924193822823508;0.902643029378726;0.945744616268291
"2020-06-09";0.921166393683767;0.889493345262632;0.952839442104901
"2020-06-10";0.933205360629424;0.896741861612789;0.969668859646059
"2020-06-11";0.931256551987732;0.896404365985787;0.966108737989678
"2020-06-12";0.925156166269565;0.890720826993937;0.959591505545193
"2020-06-13";0.930061887466533;0.894561520300311;0.965562254632754
"2020-06-14";0.936540175888161;0.902027654833678;0.971052696942644
"2020-06-15";0.933304779362416;0.900692767491042;0.965916791233791
"2020-06-16";0.944740377041024;0.912314010895785;0.977166743186263
"2020-06-17";0.933476621531386;0.904207418588069;0.962745824474704
"2020-06-18";0.941597163959775;0.911384445042234;0.971809882877316
"2020-06-19";0.935431130578148;0.906138872342367;0.96472338881393
"2020-06-20";0.933016541165887;0.903312195727268;0.962720886604506
"2020-06-21";0.92364611312845;0.893549217443075;0.953743008813825
"2020-06-22";0.903458599540819;0.871698216559504;0.935218982522133
"2020-06-23";0.896140581187223;0.859142667737196;0.933138494637251
"2020-06-24";0.896483643639961;0.855740830924728;0.937226456355194
"2020-06-25";0.886689644717889;0.844987181850128;0.928392107585649
"2020-06-26";0.877195102984819;0.832646126372338;0.9217440795973
"2020-06-27";0.859785247313002;0.812723304264638;0.906847190361366
"2020-06-28";0.863835376538088;0.811664430552531;0.916006322523645
"2020-06-29";0.845590185710654;0.793784494241563;0.897395877179745
"2020-06-30";0.85384852089974;0.796807252386119;0.91088978941336
"2020-07-01";0.883118793567787;0.824376517141787;0.941861069993787
"2020-07-02";0.876590966059219;0.825072754123147;0.928109177995291
"2020-07-03";0.872009423618745;0.821909104273126;0.922109742964364
"2020-07-04";0.878837124525436;0.828328121254636;0.929346127796237
"2020-07-05";0.885742344499864;0.836806460342303;0.934678228657424
"2020-07-06";0.909875266554249;0.862005651702139;0.957744881406359
"2020-07-07";0.900900688172842;0.858846756083326;0.942954620262357
"2020-07-08";0.866755647913609;0.826605244558135;0.906906051269084
"2020-07-09";0.87800113690515;0.831311097906758;0.924691175903542
"2020-07-10";0.895608797660892;0.847517449456483;0.9437001458653
"2020-07-11";0.895808115786597;0.85104635031891;0.940569881254284
"2020-07-12";0.897783163948212;0.854588658086627;0.940977669809798
"2020-07-13";0.892849921523001;0.850741293791556;0.934958549254446
"2020-07-14";0.897792344508929;0.854993501734885;0.940591187282973
"2020-07-15";0.906943420385044;0.864393383059464;0.949493457710624
"2020-07-16";0.899235523740442;0.858788876311002;0.939682171169881
"2020-07-17";0.899102631762402;0.858129426178829;0.940075837345974
"2020-07-18";0.915185902150682;0.873576812163623;0.95679499213774
"2020-07-19";0.914966169235311;0.875782233331419;0.954150105139203
"2020-07-20";0.932636041976529;0.892729379826531;0.972542704126528
"2020-07-21";0.936016881272834;0.899433431556109;0.97260033098956
"2020-07-22";0.940538668030079;0.90568186059948;0.975395475460678
"2020-07-23";0.971638552994943;0.936906277125247;1.00637082886464
"2020-07-24";0.961875069700887;0.930783990246249;0.992966149155526
"2020-07-25";0.953726821195964;0.924857739926211;0.982595902465716
"2020-07-26";0.951027325294576;0.922690427692857;0.979364222896296
"2020-07-27";0.943286149510348;0.914411161515788;0.972161137504907
"2020-07-28";0.940257286999403;0.911027665275577;0.969486908723228
"2020-07-29";0.937241487807156;0.906970799760135;0.967512175854178
"2020-07-30";0.935094891488176;0.903472018399853;0.966717764576499
"2020-07-31";0.942754210984451;0.909436365999572;0.976072055969331
"2020-08-01";0.966178799485963;0.932908339278024;0.999449259693902
"2020-08-02";0.980054483489101;0.950136118821772;1.00997284815643
"2020-08-03";0.979668638423799;0.951305168511237;1.00803210833636
"2020-08-04";0.992033942499397;0.965178350020577;1.01888953497822
"2020-08-05";0.996167093569985;0.969767762870152;1.02256642426982
"2020-08-06";0.995250462873412;0.968126818928254;1.02237410681857
"2020-08-07";0.992072786253538;0.965344557402797;1.01880101510428
"2020-08-08";0.963709253124878;0.937774985006399;0.989643521243356
"2020-08-09";0.948307011007774;0.922268718414827;0.97434530360072
"2020-08-10";0.953052243111732;0.922870836288021;0.983233649935443
"2020-08-11";0.952898779456863;0.92277737940219;0.983020179511535
"2020-08-12";0.957585427940124;0.926761786443513;0.988409069436734
"2020-08-13";0.948106923585225;0.918027358693168;0.978186488477281
"2020-08-14";0.949534310864184;0.917673221372344;0.981395400356023
"2020-08-15";0.951815139944371;0.919658268967996;0.983972010920747
"2020-08-16";0.96065067527164;0.927930142522923;0.993371208020357
"2020-08-17";0.964624416079295;0.931540615479962;0.997708216678629
"2020-08-18";0.980516183879154;0.947986789180164;1.01304557857814
"2020-08-19";0.990034229096202;0.960138237707336;1.01993022048507
"2020-08-20";1.01633195455948;0.986669701503402;1.04599420761557
"2020-08-21";1.01780804580083;0.987545899866889;1.04807019173477
"2020-08-22";1.01734963231507;0.987643336980223;1.04705592764992
"2020-08-23";1.02084669368036;0.991903791145896;1.04978959621481
"2020-08-24";1.02429118690048;0.993206278364339;1.05537609543662
"2020-08-25";1.02145727228255;0.989607010550104;1.05330753401499
"2020-08-26";1.03040449905359;0.999109392118318;1.06169960598886
"2020-08-27";1.01925474607439;0.987058891630815;1.05145060051797
"2020-08-28";1.03115382392301;1.00033391828532;1.0619737295607
"2020-08-29";1.0315491582029;0.99958669477805;1.06351162162775
