"fecha";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-05-04";1.68066256516785;1.29220710310903;2.06911802722667;1.42666522923286;1.93465990110284
"2020-05-05";1.64078809821042;1.25613930650981;2.02543688991102;1.3892797936345;1.89229640278634
"2020-05-06";1.59464681355238;1.23076454004993;1.95852908705483;1.35671700385888;1.83257662324588
"2020-05-07";1.53567654527066;1.20323686918098;1.86811622136034;1.3183059426887;1.75304714785262
"2020-05-08";1.46409412607067;1.17091798291829;1.75727026922304;1.27239657212926;1.65579168001207
"2020-05-09";1.40762152824075;1.15475182149293;1.66049123498858;1.24227894788603;1.57296410859547
"2020-05-10";1.37641537320524;1.15661475063062;1.59621599577985;1.23269550569607;1.5201352407144
"2020-05-11";1.34068414201796;1.14618078164715;1.53518750238877;1.21350527717559;1.46786300686034
"2020-05-12";1.30719310277571;1.1349746316886;1.47941157386282;1.19458553850206;1.41980066704936
"2020-05-13";1.25981292733378;1.10927173690926;1.4103541177583;1.16137937682583;1.35824647784173
"2020-05-14";1.21559225216451;1.08777586918062;1.3434086351484;1.13201768024498;1.29916682408403
"2020-05-15";1.20767220221986;1.09858219781868;1.31676220662104;1.13634216923029;1.27900223520943
"2020-05-16";1.18726119615879;1.08963315118024;1.28488924113733;1.12342574031893;1.25109665199864
"2020-05-17";1.1557722720119;1.06922182925543;1.24232271476837;1.09918013319451;1.21236441082928
"2020-05-18";1.14673139623216;1.07121142315111;1.22225136931322;1.09735181483313;1.1961109776312
"2020-05-19";1.12379696470831;1.05634339453206;1.19125053488457;1.07969175700763;1.167902172409
"2020-05-20";1.14727988425985;1.08636074761568;1.20819902090402;1.10744737839457;1.18711239012512
"2020-05-21";1.13255965979676;1.07142604879224;1.19369327080127;1.09258682997129;1.17253248962223
"2020-05-22";1.1123365431935;1.05498275943986;1.16969032694715;1.07483521018838;1.14983787619863
"2020-05-23";1.09844020547268;1.04681253655996;1.15006787438539;1.06468312742229;1.13219728352306
"2020-05-24";1.07449189858469;1.02887336001965;1.12011043714973;1.04466406012115;1.10431973704822
