"fecha";"region";"media.estimado";"media.linf";"media.lsup"
2020-04-19;2;15.1636202234629;13.6240077070367;16.7013924100566
2020-04-26;2;12.5720952913602;11.3872762659662;13.7968856511349
2020-05-03;2;11.7144230577006;10.8791713504761;12.578364542202
2020-05-10;2;11.644959748633;11.0203801185071;12.2986328014846
2020-05-17;2;10.5693855211573;10.1250270245247;11.0293203642487
2020-05-24;2;10.4785320109788;10.0615858500388;10.9120693691859
2020-05-31;2;9.78334143715426;9.42834549065622;10.1477291594113
2020-06-07;2;9.20326307518087;8.90900231225899;9.50659318136062
2020-06-14;2;7.86245091744758;7.61813558615748;8.11571256384501
2020-06-21;2;6.76469686783498;6.52780271844407;7.01097812785374
2020-06-28;2;5.94674379757617;5.74024266460232;6.16451533769895
2020-07-05;2;5.5887617892103;5.38673938775666;5.80222289909334
2020-07-12;2;5.02032827675942;4.79812343313484;5.2542807125006
2020-07-19;2;4.8752761783015;4.62808246104683;5.14929316104774
2020-07-26;2;5.42051774589908;4.57563056734157;7.55799741120161
2020-08-02;2;6.11704400859529;4.77271058701197;8.18405258862267
2020-08-09;2;4.57849673922848;3.6739232347616;8.03253728274278
2020-08-16;2;4.88092321673494;3.36037453461048;8.97980941668671
2020-03-08;3;15.138429540225;13.3218020520429;16.948177984806
2020-03-15;3;15.138429540225;13.3218020520429;16.948177984806
2020-03-22;3;15.0785543470193;12.131450536773;18.015310085291
2020-03-29;3;15.5527887914949;12.5619692307688;18.5867291340063
2020-04-05;3;15.7232731222512;12.7775671616531;18.6864672016995
2020-04-12;3;18.0521465763295;14.9733996797786;21.0077477343736
2020-04-19;3;14.7574960567625;12.1450625749052;17.4333429578743
2020-04-26;3;15.5151815254544;12.834529056013;18.2324321610389
2020-05-03;3;9.84909315298996;8.05966297450095;11.8485150000833
2020-05-10;3;8.80524184048753;7.12982250425167;10.691473842213
2020-05-17;3;10.4135422792071;8.25357117361984;12.8030208030474
2020-05-24;3;8.54874017682057;6.75375284840392;10.5893747852693
2020-05-31;3;8.43715614967762;7.17937012894729;9.86488574107329
2020-06-07;3;6.79599709988914;5.97722696841378;7.73165905972128
2020-06-14;3;6.91737620619678;6.27246191414768;7.66189059954834
2020-06-21;3;6.09639456395663;5.54852436023325;6.73024538784468
2020-06-28;3;5.74380820579715;5.1362625850411;6.45365517592269
2020-07-05;3;5.17634936623291;4.63980172493314;5.79270293123157
2020-07-12;3;4.95526504955168;4.41289368525681;5.57406382774479
2020-07-19;3;5.86358477768032;5.29080350608261;6.50149666070315
2020-07-26;3;6.77574171594061;5.48439804798981;9.70277272293768
2020-08-02;3;7.54780578551878;5.80172634906817;10.0462295788252
2020-08-09;3;5.68431239138793;4.28380635886767;11.381961706774
2020-08-16;3;6.9583370185491;3.80523610166253;13.4859324983619
2020-03-08;4;15.283777988818;13.5552642702184;17.033347031728
2020-03-15;4;15.283777988818;13.5552642702184;17.033347031728
2020-03-22;4;13.5956945332069;11.4281702868921;15.9046266585199
2020-03-29;4;12.7074751289964;10.4759491516351;15.0890425567321
2020-04-05;4;14.0644961989576;11.6424287502923;16.5873269846324
2020-04-12;4;13.6053046375007;11.0118732144282;16.3397306072944
2020-04-19;4;15.3444643680648;12.6916490539351;18.0218012605007
2020-04-26;4;14.8102880386147;12.0652175400842;17.5738916738781
2020-05-03;4;14.6516113917342;12.6933985746778;16.638391707005
2020-05-10;4;14.462932741543;13.3979536070233;15.5341305543221
2020-05-17;4;15.3311807262452;14.4833024443674;16.1812256478746
2020-05-24;4;10.9917030836723;10.3406797134863;11.6801729376259
