"fecha";"region";"provincia";"r.estimado";"r.liminf";"r.lisup"
"2020-11-20";6;61;1.05830440822843;0.840740650348522;1.27586816610833
"2020-11-21";6;61;1.0630254709584;0.845391090748549;1.28065985116826
"2020-11-22";6;61;1.06564988498167;0.848953522026428;1.28234624793692
"2020-11-23";6;61;1.0754009709948;0.845039008220272;1.30576293376932
"2020-11-24";6;61;1.09067035897385;0.856907854208705;1.324432863739
"2020-11-25";6;61;1.07733373160824;0.84707895290858;1.3075885103079
"2020-11-26";6;61;1.07173241981018;0.850952086180023;1.29251275344034
"2020-11-27";6;61;1.05757334695972;0.838996948013734;1.2761497459057
"2020-11-28";6;61;1.04188978604427;0.83458895243175;1.24919061965679
"2020-11-29";6;61;1.04075097168539;0.841634532621763;1.23986741074901
"2020-11-30";6;61;1.08185826490249;0.878594955878401;1.28512157392658
"2020-12-01";6;61;1.12909294359597;0.9160358368616;1.34215005033033
"2020-12-02";6;61;1.13319966248902;0.913312885511338;1.3530864394667
"2020-12-03";6;61;1.15398488525915;0.936653874320998;1.3713158961973
"2020-12-04";6;61;1.1484798020461;0.932309864175065;1.36464973991714
"2020-12-05";6;61;1.14938262785434;0.939354784071727;1.35941047163696
"2020-12-06";6;61;1.1295928772676;0.930797328959532;1.32838842557566
"2020-12-07";6;61;1.10498009570517;0.909261632409165;1.30069855900117
"2020-12-08";6;61;1.03102374882299;0.842372495271823;1.21967500237415
"2020-12-09";6;61;1.01125803785811;0.825507767774453;1.19700830794176
"2020-12-10";6;61;0.970111759793059;0.79399940194464;1.14622411764148
"2020-12-11";6;61;0.956167667264134;0.770880219684831;1.14145511484344
"2020-12-12";6;61;0.948317427256484;0.756067512329015;1.14056734218395
"2020-03-08";5;58;2.79969021624034;0;3.99
"2020-03-09";5;58;2.48484866742765;0;3.99
"2020-03-10";5;58;2.15141331107748;0;3.99
"2020-03-11";5;58;1.95134815233461;0;3.99
"2020-03-12";5;58;1.89464932915428;0;3.99
"2020-03-13";5;58;1.809146941872;0;3.99
"2020-03-14";5;58;1.7518046448517;0;3.99
"2020-03-15";5;58;1.70446438376107;0;3.75968740958642
"2020-03-16";5;58;1.70273878350148;0;3.64518515536947
"2020-03-17";5;58;1.70222841069348;0;3.45745138248315
"2020-03-18";5;58;1.66956550221072;0;3.36158820554054
"2020-03-19";5;58;1.62106692707603;0.119212610425778;3.12292124372627
"2020-03-20";5;58;1.5423945397718;0.1552457186595;2.92954336088411
"2020-03-21";5;58;1.51216433114288;0.11569747962025;2.90863118266552
"2020-03-22";5;58;1.45905303108069;0.2162160319145;2.70189003024688
"2020-03-23";5;58;1.42079441499485;0.156003993070439;2.68558483691926
"2020-03-24";5;58;1.3661026682152;0.141808280976295;2.59039705545411
"2020-03-25";5;58;1.35517096309289;0.179611162116677;2.53073076406909
"2020-03-26";5;58;1.33614217566013;0.184765769858019;2.48751858146225
