"fecha";"region";"provincia";"media.estimado";"media.linf";"media.lsup"
2020-05-17;"05";"053";10.1926155307465;8.88403948771965;11.6298962265725
2020-05-24;"05";"053";9.08390146453016;8.21591258424391;10.0313570676305
2020-05-31;"05";"053";8.55293160995012;7.78023470987997;9.433927725515
2020-06-07;"05";"053";6.95766803069793;6.25014539314539;7.75737853216853
2020-06-14;"05";"053";6.95894602735208;6.1210313414497;7.92373567867507
2020-06-21;"05";"053";6.61307212924425;5.77451438860042;7.59624806527266
2020-06-28;"05";"053";7.11893624064824;6.20515787701052;8.18104947684902
2020-07-05;"05";"053";6.44860519378849;5.46449712686221;7.59535865837667
2020-07-12;"05";"053";6.625196532962;5.53529523665125;7.88808376613846
2020-07-19;"05";"053";6.69213875951289;5.54976804108202;8.01897306411583
2020-07-26;"05";"053";6.40801907286684;4.6958247928928;9.34349692033299
2020-08-02;"05";"053";8.92773972944214;5.78869643189762;13.0891180831249
2020-08-09;"05";"053";6.06152746217986;3.22529113710096;12.8812905649395
2020-08-16;"05";"053";7.04447496270173;3.31975654502088;14.0394733962444
2020-03-08;"05";"054";15.0446284068181;13.2268260588952;16.8583437632885
2020-03-15;"05";"054";15.0446284068181;13.2268260588952;16.8583437632885
2020-03-22;"05";"054";15.8445861693473;12.9637701185201;18.7870569041084
2020-03-29;"05";"054";15.4871518887418;12.6729527056119;18.3164462347767
2020-04-05;"05";"054";15.935883572499;12.9735069575298;18.8651243056396
2020-04-12;"05";"054";14.9518351502277;12.0725712212323;17.8956208104608
2020-04-19;"05";"054";15.4751969428517;12.494939987771;18.4741912490993
2020-04-26;"05";"054";14.0743278389944;11.3651029343897;16.8878461602795
2020-05-03;"05";"054";14.3698617011349;11.6229092100541;17.2446800536279
2020-05-10;"05";"054";14.7619408400282;11.9837007657629;17.6465516116122
2020-05-17;"05";"054";11.637547876303;9.70074415047467;13.7253356513194
2020-05-24;"05";"054";12.1952176203187;10.4735016772015;14.0626031610431
2020-05-31;"05";"054";9.84958224678939;8.61022326394435;11.2442122516081
2020-06-07;"05";"054";10.0832427164385;8.78179186001188;11.5096419105717
2020-06-14;"05";"054";8.50835126215815;7.41968490257112;9.73462681437023
2020-06-21;"05";"054";8.0584708966523;6.98308259784843;9.28075131180681
2020-06-28;"05";"054";8.71818502594764;7.60627727822827;9.99981673152665
2020-07-05;"05";"054";8.9230899989038;7.7502147500383;10.2529106923255
2020-07-12;"05";"054";8.43545341781877;7.17218203828937;9.91516150670521
2020-07-19;"05";"054";8.99737364224867;7.65246738545843;10.5493097056549
2020-07-26;"05";"054";7.63614989125997;5.81022839494668;10.5423044647149
2020-08-02;"05";"054";9.92913780909034;7.42390562680841;13.5493482792987
2020-08-09;"05";"054";6.04687739486661;4.28430200014931;11.1174340287413
2020-08-16;"05";"054";7.31047768607846;4.69327723757667;13.4676916595638
2020-03-08;"05";"055";14.9042260565017;13.1363539868075;16.6917487984189
2020-03-15;"05";"055";14.9042260565017;13.1363539868075;16.6917487984189
2020-03-22;"05";"055";14.4511889487242;11.7900028000378;17.2304249045692
2020-03-29;"05";"055";13.5822957031333;11.2669614240241;16.0831006733152
2020-04-05;"05";"055";14.06555493644;11.5503055026151;16.6742954483251
2020-04-12;"05";"055";14.0833149152375;11.7495515380454;16.567529887069
2020-04-19;"05";"055";13.2685444076783;10.7918577590414;15.9249961155228
2020-04-26;"05";"055";13.3752503286803;10.7076914457459;16.1896219481931
2020-05-03;"05";"055";13.2498161596545;11.0126373420479;15.6281479779633
2020-05-10;"05";"055";11.2569737106325;9.34998981114151;13.3168270005878
2020-05-17;"05";"055";11.2753049419663;9.77171210146253;12.9488368957641
2020-05-24;"05";"055";10.7765606175181;9.67973897956089;11.9821574557985
2020-05-31;"05";"055";9.44621662321138;8.44276933952927;10.5760303991879
2020-06-07;"05";"055";7.53820138298806;6.87585164624185;8.28103967116493
2020-06-14;"05";"055";7.33823210437082;6.64808019109897;8.11234125576814
2020-06-21;"05";"055";6.57582360345857;5.99642749776132;7.24138132673853
2020-06-28;"05";"055";6.19325568352376;5.66536620804574;6.7906257391908
2020-07-05;"05";"055";6.72908625923579;6.17871557022737;7.35340249336052
2020-07-12;"05";"055";6.47810227254512;5.8781732671509;7.173358191567
